id,name_en,name_fr,name_de,name_es,description_en,description_fr,description_de,description_es,price,category_en,category_fr,category_de,category_es
1,Wireless Mouse,Souris sans fil,Kabellose Maus,Ratón inalámbrico,Ergonomic wireless mouse with precision tracking,Souris sans fil ergonomique avec suivi de précision,Ergonomische kabellose Maus mit präziser Verfolgung,Ratón inalámbrico ergonómico con seguimiento de precisión,29.99,Electronics,Électronique,Elektronik,Electrónica
2,USB Keyboard,Clavier USB,USB-Tastatur,Teclado USB,Full-size keyboard with numeric keypad,Clavier pleine taille avec pavé numérique,Tastatur in voller Größe mit Ziffernblock,Teclado de tamaño completo con teclado numérico,39.99,Electronics,Électronique,Elektronik,Electrónica
3,HD Monitor,Moniteur HD,HD-Monitor,Monitor HD,24-inch Full HD LED monitor,Moniteur LED Full HD de 24 pouces,24-Zoll-Full-HD-LED-Monitor,Monitor LED Full HD de 24 pulgadas,199.99,Electronics,Électronique,Elektronik,Electrónica
4,Office Chair,Chaise de bureau,Bürostuhl,Silla de oficina,Ergonomic office chair with lumbar support,Chaise de bureau ergonomique avec soutien lombaire,Ergonomischer Bürostuhl mit Lordosenstütze,Silla de oficina ergonómica con soporte lumbar,299.99,Furniture,Meubles,Möbel,Muebles
5,Standing Desk,Bureau debout,Stehschreibtisch,Escritorio de pie,Height adjustable standing desk,Bureau réglable en hauteur,Höhenverstellbarer Stehschreibtisch,Escritorio ajustable en altura,599.99,Furniture,Meubles,Möbel,Muebles
6,Desk Lamp,Lampe de bureau,Schreibtischlampe,Lámpara de escritorio,LED desk lamp with adjustable brightness,Lampe de bureau LED avec luminosité réglable,LED-Schreibtischlampe mit einstellbarer Helligkeit,Lámpara de escritorio LED con brillo ajustable,49.99,Lighting,Éclairage,Beleuchtung,Iluminación
7,Notebook,Cahier,Notizbuch,Cuaderno,Professional notebook with 200 pages,Cahier professionnel de 200 pages,Professionelles Notizbuch mit 200 Seiten,Cuaderno profesional de 200 páginas,12.99,Stationery,Papeterie,Schreibwaren,Papelería
8,Pen Set,Ensemble de stylos,Stiftset,Juego de bolígrafos,Premium ballpoint pen set,Ensemble de stylos à bille premium,Premium-Kugelschreiber-Set,Juego de bolígrafos premium,24.99,Stationery,Papeterie,Schreibwaren,Papelería
9,File Organizer,Organisateur de fichiers,Dateiorganizer,Organizador de archivos,Desktop file organizer with 5 compartments,Organisateur de fichiers de bureau avec 5 compartiments,Schreibtisch-Dateiorganizer mit 5 Fächern,Organizador de archivos de escritorio con 5 compartimentos,34.99,Storage,Rangement,Lagerung,Almacenamiento
10,Laptop Stand,Support pour ordinateur portable,Laptopständer,Soporte para portátil,Adjustable aluminum laptop stand,Support réglable en aluminium pour ordinateur portable,Verstellbarer Aluminium-Laptopständer,Soporte de aluminio ajustable para portátil,59.99,Electronics,Électronique,Elektronik,Electrónica
11,Wireless Headphones,Casque sans fil,Kabellose Kopfhörer,Auriculares inalámbricos,Bluetooth headphones with noise cancellation,Casque Bluetooth avec réduction de bruit,Bluetooth-Kopfhörer mit Geräuschunterdrückung,Auriculares Bluetooth con cancelación de ruido,149.99,Electronics,Électronique,Elektronik,Electrónica
12,USB Hub,Hub USB,USB-Hub,Hub USB,4-port USB 3.0 hub,Hub USB 3.0 à 4 ports,4-Port-USB-3.0-Hub,Hub USB 3.0 de 4 puertos,19.99,Electronics,Électronique,Elektronik,Electrónica
13,Webcam,Webcam,Webcam,Cámara web,Full HD 1080p webcam with microphone,Webcam Full HD 1080p avec microphone,Full-HD-1080p-Webcam mit Mikrofon,Cámara web Full HD 1080p con micrófono,79.99,Electronics,Électronique,Elektronik,Electrónica
14,Bookshelf,Étagère,Bücherregal,Estantería,5-tier wooden bookshelf,Étagère en bois à 5 niveaux,5-stufiges Holzbücherregal,Estantería de madera de 5 niveles,129.99,Furniture,Meubles,Möbel,Muebles
15,Desk Mat,Tapis de bureau,Schreibtischunterlage,Alfombrilla de escritorio,Large desk mat for keyboard and mouse,Grand tapis de bureau pour clavier et souris,Große Schreibtischunterlage für Tastatur und Maus,Alfombrilla de escritorio grande para teclado y ratón,24.99,Accessories,Accessoires,Zubehör,Accesorios
16,Cable Management,Gestion des câbles,Kabelmanagement,Gestión de cables,Cable management box for desk organization,Boîte de gestion des câbles pour l'organisation du bureau,Kabelmanagement-Box für die Schreibtischorganisation,Caja de gestión de cables para organizar el escritorio,16.99,Accessories,Accessoires,Zubehör,Accesorios
17,Monitor Arm,Bras de moniteur,Monitorarm,Brazo de monitor,Adjustable single monitor arm mount,Support de bras de moniteur simple réglable,Verstellbare Einzelmonitor-Armhalterung,Soporte de brazo de monitor simple ajustable,89.99,Accessories,Accessoires,Zubehör,Accesorios
18,Footrest,Repose-pieds,Fußstütze,Reposapiés,Ergonomic adjustable footrest,Repose-pieds ergonomique réglable,Ergonomische verstellbare Fußstütze,Reposapiés ergonómico ajustable,39.99,Accessories,Accessoires,Zubehör,Accesorios
19,Desk Fan,Ventilateur de bureau,Schreibtischventilator,Ventilador de escritorio,USB powered desk fan with 3 speeds,Ventilateur de bureau alimenté par USB à 3 vitesses,USB-betriebener Schreibtischventilator mit 3 Geschwindigkeiten,Ventilador de escritorio alimentado por USB con 3 velocidades,22.99,Accessories,Accessoires,Zubehör,Accesorios
20,Paper Shredder,Destructeur de papier,Aktenvernichter,Trituradora de papel,Cross-cut paper shredder for home office,Destructeur de papier à coupe croisée pour bureau à domicile,Kreuzschnitt-Aktenvernichter für Heimbüro,Trituradora de papel de corte cruzado para oficina en casa,69.99,Office Equipment,Équipement de bureau,Büroausstattung,Equipo de oficina
